model,dataset,accuracy,precision,recall,f1_macro,train_time,inference_time,n_parameters
RNN,ECG200,0.84,0.8327205882352942,0.8142361111111112,0.82174688057041,7.239400148391724,0.03879499435424805,108610
RNN,ECG200,0.84,0.8380952380952381,0.8081597222222222,0.8190863862505653,5.0825371742248535,0.03905892372131348,133762
CNN,ECG200,0.82,0.8284823284823285,0.7743055555555556,0.7896213183730716,10.475796937942505,0.16733407974243164,140866
CNN,ECG200,0.82,0.8046875,0.8046875,0.8046875,36.028908014297485,0.631000280380249,576834
RNN,ECG200,0.81,0.8001402524544179,0.7786458333333333,0.7867803837953091,11.46409010887146,0.09871578216552734,430210
CNN,ECG200,0.78,0.7748397435897436,0.7977430555555556,0.7742200328407225,4.168804883956909,0.053501129150390625,35618
LSTM,ECG200,0.77,0.7533894343151005,0.7352430555555556,0.74189204354169,3.5598320960998535,0.023608922958374023,54722
CNN,ECG200,0.77,0.7845087402049428,0.7048611111111112,0.7178260336155073,11.988756895065308,0.18595409393310547,145058
VAE,ECG200,0.76,0.7397504456327986,0.7335069444444444,0.7362637362637363,1.974181890487671,0.014439821243286133,20450
LSTM,ECG200,0.75,0.7288557213930348,0.7196180555555556,0.7234207323819006,2.521937847137451,0.022262096405029297,83842
LSTM,ECG200,0.75,0.7354134956874683,0.7013888888888888,0.7103464256748928,5.410596132278442,0.04368281364440918,215938
RNN,ECG200,0.75,0.7288557213930348,0.7196180555555556,0.7234207323819006,3.304643154144287,0.01982593536376953,34114
VAE,ECG200,0.75,0.7300140252454418,0.7135416666666667,0.7194478734148805,1.960988998413086,0.01419520378112793,18898
LSTM,ECG200,0.74,0.7178819444444444,0.7178819444444444,0.7178819444444444,1.880364179611206,0.013481855392456055,21442
VAE,ECG200,0.68,0.6468253968253967,0.6284722222222222,0.6323529411764706,1.5137791633605957,0.00877070426940918,5362
VAE,ECG200,0.67,0.6350169985429821,0.6206597222222222,0.6239316239316239,1.503695011138916,0.00917506217956543,6146
