model,dataset,hyperparams,hidden_size,n_layers,bidirectional,use_gru,n_filters,n_blocks,kernel_size,latent_dim,accuracy,precision,recall,f1_macro,f1_weighted,train_time,inference_time,n_parameters,threshold
LSTM,ECG200,"{'hidden_size': 64, 'n_layers': 1, 'bidirectional': False}",64.0,1.0,False,,,,,,0.74,0.7178819444444444,0.7178819444444444,0.7178819444444444,0.74,1.880364179611206,0.013481855392456055,21442,
LSTM,ECG200,"{'hidden_size': 64, 'n_layers': 2, 'bidirectional': False}",64.0,2.0,False,,,,,,0.77,0.7533894343151005,0.7352430555555556,0.74189204354169,0.7657412187184378,3.5598320960998535,0.023608922958374023,54722,
LSTM,ECG200,"{'hidden_size': 128, 'n_layers': 1, 'bidirectional': False}",128.0,1.0,False,,,,,,0.75,0.7288557213930348,0.7196180555555556,0.7234207323819006,0.7474278128111517,2.521937847137451,0.022262096405029297,83842,
LSTM,ECG200,"{'hidden_size': 128, 'n_layers': 2, 'bidirectional': False}",128.0,2.0,False,,,,,,0.75,0.7354134956874683,0.7013888888888888,0.7103464256748928,0.7403545359749739,5.410596132278442,0.04368281364440918,215938,
RNN,ECG200,"{'hidden_size': 64, 'n_layers': 1, 'use_gru': True}",64.0,1.0,,True,,,,,0.75,0.7288557213930348,0.7196180555555556,0.7234207323819006,0.7474278128111517,3.304643154144287,0.01982593536376953,34114,
RNN,ECG200,"{'hidden_size': 64, 'n_layers': 2, 'use_gru': True}",64.0,2.0,,True,,,,,0.84,0.8327205882352942,0.8142361111111112,0.82174688057041,0.8377183600713012,7.239400148391724,0.03879499435424805,108610,
RNN,ECG200,"{'hidden_size': 128, 'n_layers': 1, 'use_gru': True}",128.0,1.0,,True,,,,,0.84,0.8380952380952381,0.8081597222222222,0.8190863862505653,0.8363093622795116,5.0825371742248535,0.03905892372131348,133762,
RNN,ECG200,"{'hidden_size': 128, 'n_layers': 2, 'use_gru': True}",128.0,2.0,,True,,,,,0.81,0.8001402524544179,0.7786458333333333,0.7867803837953091,0.8064818763326226,11.46409010887146,0.09871578216552734,430210,
CNN,ECG200,"{'n_filters': 32, 'n_blocks': 2, 'kernel_size': 3}",,,,,32.0,2.0,3.0,,0.78,0.7748397435897436,0.7977430555555556,0.7742200328407225,0.7843349753694581,4.168804883956909,0.053501129150390625,35618,
CNN,ECG200,"{'n_filters': 32, 'n_blocks': 3, 'kernel_size': 3}",,,,,32.0,3.0,3.0,,0.77,0.7845087402049428,0.7048611111111112,0.7178260336155073,0.7517997791682002,11.988756895065308,0.18595409393310547,145058,
CNN,ECG200,"{'n_filters': 64, 'n_blocks': 2, 'kernel_size': 3}",,,,,64.0,2.0,3.0,,0.82,0.8284823284823285,0.7743055555555556,0.7896213183730716,0.8120056100981767,10.475796937942505,0.16733407974243164,140866,
CNN,ECG200,"{'n_filters': 64, 'n_blocks': 3, 'kernel_size': 3}",,,,,64.0,3.0,3.0,,0.82,0.8046875,0.8046875,0.8046875,0.82,36.028908014297485,0.631000280380249,576834,
VAE,ECG200,"{'hidden_size': 32, 'latent_dim': 8, 'n_layers': 1}",32.0,1.0,,,,,,8.0,0.68,0.6468253968253967,0.6284722222222222,0.6323529411764706,0.6694117647058824,1.5137791633605957,0.00877070426940918,5362,
VAE,ECG200,"{'hidden_size': 32, 'latent_dim': 16, 'n_layers': 1}",32.0,1.0,,,,,,16.0,0.67,0.6350169985429821,0.6206597222222222,0.6239316239316239,0.6607863247863247,1.503695011138916,0.00917506217956543,6146,
VAE,ECG200,"{'hidden_size': 64, 'latent_dim': 8, 'n_layers': 1}",64.0,1.0,,,,,,8.0,0.75,0.7300140252454418,0.7135416666666667,0.7194478734148805,0.7453708899113455,1.960988998413086,0.01419520378112793,18898,
VAE,ECG200,"{'hidden_size': 64, 'latent_dim': 16, 'n_layers': 1}",64.0,1.0,,,,,,16.0,0.76,0.7397504456327986,0.7335069444444444,0.7362637362637363,0.7584175824175824,1.974181890487671,0.014439821243286133,20450,
